city_name,locode,region_name,population,fcm_dependency_pct,fcm_dependency_band,poverty_rate,median_household_income,city_id,country_code,disability_prevalence,electricity_access_rate,employment_agriculture_forestry,employment_construction,employment_electricity_gas,employment_in_transport_and_logistics,employment_manufacturing,employment_mining,employment_water_waste,fixed_internet_household_share,home_ownership,indigenous_identification_rate,literacy_rate,mean_years_schooling,public_transport_share,renter_share,unemployment_rate,total_income_2023_mclp,ipp_percapita_2023_mclp,ipp_share_total_pct_2023,total_income_pc_clp,staff_planta_2023,staff_contrata_2023,total_staff_2023,professionalization_pct_2023,staff_per_1000_2023,prof_staff_abs,p_fcm,p_ipppc,p_ippsh,cofinance_score,p_prof,p_profstaff,p_totinc,anchor_score,composite_score
Vicuña,CL VIC,Coquimbo,27996.0,73.93,very high (dependent),25.82,750000.0,66tvyqm60h9d7pz5h682,CL,11.96,99.35,21.76,6.64,0.51,4.07,6.15,11.54,1.11,39.75,67.64,13.62,95.67,9.47,12.68,15.63,5.2,12358652.0,88.88,21.84,441443.0,53.0,71.0,124.0,32.26,4.43,40.0024,35.98726114649682,41.02564102564102,42.94871794871795,40.0,24.242424242424242,54.54545454545454,58.65384615384615,45.8,42.9
Chépica,CL CHE,Libertador General Bernardo O'Higgins,15560.0,73.86,very high (dependent),29.29,848917.0,63v604m67chvd35zctzn,CL,12.86,99.67,43.06,5.73,0.79,3.87,4.29,1.09,1.0,27.18,75.97,1.9,92.84,8.73,13.72,9.67,9.26,7082677.0,81.45,18.52,455185.0,46.0,25.0,71.0,43.66,4.56,30.9986,36.30573248407644,33.01282051282051,33.65384615384615,34.3,69.02356902356902,37.03703703703704,33.97435897435898,46.7,40.5
Placilla,CL PLA,Libertador General Bernardo O'Higgins,9437.0,73.77,very high (dependent),28.55,705168.0,63v7n3u98uu4f9qsbveh,CL,15.19,99.35,39.76,6.24,0.69,3.33,7.47,1.36,0.8,36.47,65.53,5.32,93.71,8.98,18.37,10.86,12.71,4394158.0,89.63,18.89,465631.0,31.0,14.0,45.0,55.56,4.77,25.002,36.62420382165605,41.34615384615385,34.294871794871796,37.4,91.07744107744108,24.915824915824917,9.615384615384617,41.9,39.6
Santa Bárbara,CL SBA,Biobío,14027.0,73.66,very high (dependent),31.06,743500.0,63kczr1zdu0vuwgwynrd,CL,15.67,99.28,16.86,12.37,1.51,4.65,5.9,2.9,0.88,28.09,69.37,14.66,93.05,8.94,8.15,14.6,15.49,5107230.0,76.95,22.08,364100.0,37.0,37.0,74.0,51.35,5.28,37.999,36.94267515923567,27.24358974358974,43.58974358974359,35.9,86.19528619528619,51.85185185185185,16.666666666666664,51.6,43.8
San Javier,CL SJV,Maule,49452.0,73.52,very high (dependent),23.73,843250.0,63sv73bnn40jeu95rhqz,CL,13.51,99.75,18.75,9.16,0.78,7.11,9.21,2.0,0.89,53.27,74.6,3.47,93.54,9.04,8.08,12.91,5.89,15642502.0,64.95,21.17,316317.0,116.0,64.0,180.0,31.67,3.64,57.00600000000001,37.261146496815286,16.98717948717949,39.743589743589745,31.3,21.21212121212121,70.03367003367003,67.94871794871796,53.1,42.2
Victoria,CL ZIC,La Araucanía,34089.0,73.12,very high (dependent),39.31,664776.0,63hwhr1pmnev2vdutq9j,CL,12.97,98.34,11.85,7.39,1.17,6.2,7.27,0.77,0.83,50.07,69.8,28.19,94.25,9.4,16.64,15.39,11.15,12293851.0,74.19,21.45,360640.0,69.0,72.0,141.0,24.11,4.14,33.9951,37.57961783439491,25.0,41.34615384615385,34.6,3.3670033670033668,43.77104377104377,58.333333333333336,35.2,34.9
Bulnes,CL BUL,Ñuble,23785.0,72.81,very high (dependent),35.1,740750.0,63kwen8034ewwxhjfnk8,CL,14.92,99.24,18.75,9.35,1.08,6.23,10.98,3.23,1.15,35.66,71.85,4.1,93.19,9.17,28.62,11.76,2.22,7528646.0,74.58,22.52,316529.0,52.0,40.0,92.0,43.48,3.87,40.001599999999996,37.898089171974526,25.961538461538463,45.51282051282051,36.5,68.51851851851852,54.20875420875421,38.782051282051285,53.8,45.2
Caldera,CL CLD,Atacama,18717.0,72.53,very high (dependent),10.8,996864.0,67jtxdf6x789jfj640pm,CL,13.77,99.17,12.23,6.66,0.65,7.17,7.23,8.44,1.39,46.03,69.4,28.99,95.73,9.96,17.75,18.06,7.49,13520147.0,154.93,22.76,722346.0,89.0,52.0,141.0,68.79,7.53,96.99390000000001,38.21656050955414,75.0,46.15384615384615,53.1,97.64309764309765,84.17508417508418,63.141025641025635,81.7,67.4
Ancud,CL ZUD,Los Lagos,40570.0,72.0,very high (dependent),18.49,901524.0,62e8bwvnwmuddsy4e7vd,CL,12.9,99.54,18.23,8.18,0.83,7.14,10.38,0.23,0.67,36.05,72.16,28.18,95.26,9.54,23.98,16.4,6.32,28324522.0,78.31,11.75,698164.0,88.0,59.0,147.0,32.65,3.62,47.9955,38.53503184713376,30.128205128205128,17.628205128205128,28.8,27.104377104377104,63.2996632996633,83.01282051282051,57.8,43.3
Quinta de Tilcoco,CL QDT,Libertador General Bernardo O'Higgins,13558.0,71.87,very high (dependent),25.31,766348.0,63vs83hfcke4v7q1464b,CL,15.04,99.66,35.02,6.56,0.44,4.09,10.4,1.66,0.49,33.61,69.73,5.95,93.53,9.15,10.25,14.6,11.89,5686443.0,83.78,20.91,419416.0,50.0,85.0,135.0,31.11,9.96,41.9985,38.853503184713375,34.93589743589743,39.42307692307692,37.7,18.51851851851852,56.22895622895623,23.717948717948715,32.8,35.2
Peumo,CL PEU,Libertador General Bernardo O'Higgins,14076.0,71.8,very high (dependent),24.38,905856.0,63vkeq9f7whm1x0gnx32,CL,14.79,99.69,29.43,4.65,0.62,4.3,11.75,1.02,0.79,57.24,69.94,4.98,93.44,9.14,11.35,12.89,8.97,4985841.0,77.33,23.29,354209.0,29.0,27.0,56.0,46.43,3.98,26.000799999999998,39.171974522293,27.564102564102566,47.43589743589743,38.1,78.45117845117845,26.936026936026934,15.384615384615385,40.3,39.2
Renaico,CL RNO,La Araucanía,10681.0,71.74,very high (dependent),25.14,966994.0,63k3kt8p51sxmc0gnpq6,CL,16.64,99.5,24.11,11.25,2.6,4.78,10.34,2.91,0.68,27.68,74.64,10.08,92.79,8.71,8.43,13.15,6.52,4915656.0,106.31,23.71,460224.0,34.0,25.0,59.0,40.68,5.52,24.0012,39.490445859872615,51.28205128205128,49.67948717948718,46.8,58.92255892255892,21.885521885521886,13.782051282051283,31.5,39.2
Alto Hospicio,CL AHP,Tarapacá,139445.0,71.51,very high (dependent),34.46,984239.0,6kqjnu7kqd2fjtm5hm0g,CL,10.39,98.94,0.85,10.28,0.9,9.66,5.87,10.47,1.22,60.45,55.81,29.38,95.33,9.08,37.87,22.97,11.1,27951929.0,46.83,23.5,200451.0,62.0,80.0,142.0,39.44,1.02,56.004799999999996,39.80891719745223,7.051282051282051,48.3974358974359,31.8,52.52525252525253,69.02356902356902,82.37179487179486,68.0,49.9
Chimbarongo,CL CBG,Libertador General Bernardo O'Higgins,37249.0,71.38,very high (dependent),27.67,887588.0,63vd2c9kh816ge984nq7,CL,14.89,99.65,37.31,5.03,0.52,4.82,8.83,1.19,0.83,40.24,69.5,4.23,93.96,8.94,12.61,12.01,9.48,10839486.0,66.02,23.32,291001.0,76.0,59.0,135.0,34.81,3.62,46.993500000000004,40.12738853503185,18.91025641025641,47.756410256410255,35.6,36.02693602693603,62.2895622895623,54.48717948717948,50.9,43.2
Lolol,CL LOL,Libertador General Bernardo O'Higgins,7790.0,71.35,very high (dependent),26.21,799171.0,63v41wdvpxqeg8vk1drx,CL,13.43,99.37,38.59,7.63,0.52,3.68,4.16,0.83,1.46,17.96,71.0,2.57,90.54,8.75,8.28,11.05,9.94,4206939.0,121.57,21.44,540044.0,50.0,28.0,78.0,62.82,10.01,48.9996,40.445859872611464,61.21794871794872,41.02564102564102,47.6,96.29629629629629,64.98316498316498,8.333333333333332,56.5,52.0
Río Negro,CL RNE,Los Lagos,13847.0,71.14,very high (dependent),23.04,862923.0,62gb13gxfbsuhjtbuuyt,CL,15.02,99.06,27.34,9.58,1.08,6.01,7.85,0.57,0.51,29.22,67.34,37.93,94.14,9.07,22.34,10.31,9.49,5484552.0,83.42,21.5,396082.0,27.0,24.0,51.0,50.98,3.68,25.999799999999997,40.76433121019109,34.61538461538461,41.66666666666667,39.0,85.18518518518519,25.925925925925924,20.51282051282051,43.9,41.4
Parral,CL PRL,Maule,45014.0,71.11,very high (dependent),34.01,729118.0,63t19wtnvm59wfx3321u,CL,13.44,99.67,19.41,8.76,1.73,4.8,7.94,1.25,0.68,44.17,72.5,2.77,93.12,9.13,17.04,15.0,7.92,15076220.0,76.18,22.91,334923.0,105.0,100.0,205.0,31.22,4.55,64.00099999999999,41.082802547770704,26.602564102564102,46.47435897435898,38.1,19.52861952861953,73.73737373737373,66.98717948717949,53.4,45.8
San Clemente,CL SCT,Maule,47061.0,71.01,very high (dependent),37.28,700000.0,63tsgfcdzxrkczupqdy1,CL,14.81,99.62,29.23,11.46,2.04,3.79,5.64,3.55,1.03,37.49,73.01,3.94,93.01,8.67,21.06,10.62,11.29,14639403.0,72.96,23.72,311073.0,87.0,43.0,130.0,44.62,2.76,58.006,41.40127388535032,24.03846153846154,50.0,38.5,72.39057239057239,71.04377104377105,65.06410256410257,69.5,54.0
Tucapel,CL TUC,Biobío,15692.0,71.0,very high (dependent),32.51,686667.0,63kuprm66g560z25hhev,CL,16.48,99.51,14.81,12.63,1.63,4.37,12.79,2.54,0.74,45.74,71.83,4.18,94.09,9.27,6.74,13.78,8.88,8582485.0,96.87,17.36,546934.0,43.0,26.0,69.0,37.68,4.4,25.999200000000002,41.71974522292994,46.47435897435898,29.807692307692307,39.3,46.464646464646464,25.589225589225588,43.269230769230774,38.4,38.8
Canela,CL CAN,Coquimbo,9638.0,70.94,very high (dependent),33.06,731696.0,66mjr7kqcuv9vb9zgf67,CL,13.45,98.67,8.06,15.94,1.17,6.1,5.57,14.83,2.12,13.07,80.23,6.94,92.21,8.16,24.43,7.91,1.61,4676208.0,116.32,23.69,485184.0,22.0,21.0,43.0,34.88,4.46,14.9984,42.038216560509554,58.97435897435898,49.358974358974365,50.1,36.36363636363637,4.377104377104377,11.858974358974358,17.5,33.8
Laja,CL LAJ,Biobío,23691.0,70.9,very high (dependent),22.73,713742.0,63k7sr7n2cp96r30kx41,CL,16.75,99.33,5.55,15.59,2.14,5.13,18.61,3.93,0.67,45.65,72.34,6.65,92.76,9.28,23.89,14.63,9.69,10752246.0,95.52,21.24,453854.0,52.0,23.0,75.0,42.67,3.17,32.002500000000005,42.515923566878975,45.19230769230769,40.06410256410257,42.6,65.31986531986533,40.4040404040404,54.166666666666664,53.3,48.0
San Pedro,CL SPE,Metropolitana de Santiago,11092.0,70.9,very high (dependent),29.94,944155.0,63vnynfpx4fqbe7xsjhe,CL,11.49,99.38,40.85,7.74,0.98,4.93,9.74,1.22,0.65,21.52,70.21,8.06,94.35,8.61,14.68,15.84,6.1,4322447.0,86.21,24.76,389690.0,102.0,20.0,122.0,18.85,11.0,22.997,42.515923566878975,37.82051282051282,52.88461538461539,44.4,0.6734006734006733,17.50841750841751,8.974358974358974,9.1,26.8
Molina,CL MOL,Maule,48477.0,70.87,very high (dependent),27.71,884612.0,63twfkhzffnbmhdqgr2g,CL,13.5,99.63,29.76,6.25,0.65,5.09,10.8,0.72,0.8,57.08,70.98,5.79,93.95,9.19,24.28,15.93,9.84,15153461.0,73.31,24.93,312591.0,88.0,56.0,144.0,45.14,2.97,65.0016,42.99363057324841,24.679487179487182,53.52564102564102,40.4,74.07407407407408,74.07407407407408,67.3076923076923,71.8,56.1
Graneros,CL GRA,Libertador General Bernardo O'Higgins,35754.0,70.81,very high (dependent),22.75,1147500.0,63vwnne962kmj6vn93td,CL,10.02,99.94,21.78,6.27,0.88,5.64,10.9,3.94,0.64,68.2,68.15,7.42,95.11,9.74,23.96,21.54,4.5,9481900.0,58.2,23.2,265198.0,30.0,51.0,81.0,29.63,2.27,24.0003,43.31210191082803,13.782051282051283,46.794871794871796,34.6,12.962962962962962,21.21212121212121,47.11538461538461,27.1,30.8
Constitución,CL CST,Maule,46888.0,70.67,very high (dependent),26.71,850000.0,63swg664gtf8t4gt0drz,CL,13.48,99.59,15.47,7.0,1.13,6.96,14.88,1.18,0.9,35.97,67.68,4.2,94.16,9.25,24.34,18.91,9.64,19110423.0,94.13,24.92,407576.0,88.0,40.0,128.0,28.91,2.73,37.0048,43.78980891719745,43.91025641025641,53.205128205128204,47.0,10.1010101010101,50.505050505050505,74.03846153846155,44.9,46.0
Rauco,CL RAU,Maule,11265.0,70.67,very high (dependent),34.21,788918.0,63v1nxtn037yx3dnv5hr,CL,15.51,99.27,37.05,6.92,0.64,4.18,6.53,0.82,0.71,33.45,69.82,4.34,92.46,8.84,15.99,11.0,7.53,5487589.0,95.94,20.34,487136.0,23.0,21.0,44.0,45.45,3.91,19.998,43.78980891719745,45.51282051282051,38.141025641025635,42.5,75.75757575757575,12.794612794612794,20.833333333333336,36.5,39.5
Castro,CL WCA,Los Lagos,46664.0,70.59,very high (dependent),16.31,967282.0,627w2echhtjjc21wzuw3,CL,11.57,99.76,10.76,7.56,1.36,7.4,9.85,0.26,0.76,44.06,63.75,26.94,95.96,9.97,27.42,26.56,3.98,35527639.0,113.08,15.43,761350.0,150.0,59.0,209.0,40.19,4.48,83.99709999999999,44.26751592356688,55.92948717948718,25.961538461538463,42.1,57.23905723905723,80.47138047138047,84.93589743589743,74.2,58.2
Camarones,CL CAM,Arica y Parinacota,861.0,70.34,very high (dependent),38.43,529694.0,6kwkm8e40uxz23nu4jw4,CL,15.23,92.51,40.0,4.71,0.24,4.71,5.65,2.59,0.24,2.97,61.56,79.88,96.16,9.18,3.46,5.03,2.76,3788740.0,689.89,22.65,4400395.0,,,,,,,44.5859872611465,97.11538461538461,45.83333333333333,62.5,,,4.807692307692308,4.8,33.6
Mulchén,CL MUL,Biobío,28857.0,70.21,very high (dependent),36.1,713320.0,63k8xrsx9dgjpjyqpv8n,CL,13.71,99.48,26.0,7.69,0.99,6.22,8.49,1.37,0.84,51.18,68.14,11.2,92.96,8.82,20.58,13.82,8.69,9818030.0,74.33,23.55,340230.0,59.0,29.0,88.0,37.5,3.05,33.0,44.904458598726116,25.320512820512818,49.03846153846153,39.8,45.45454545454545,41.75084175084175,48.3974358974359,45.2,42.5
Pichidegua,CL PDH,Libertador General Bernardo O'Higgins,20320.0,70.13,very high (dependent),26.43,800000.0,63vk2wut20s6qtu9w35c,CL,13.82,99.42,37.8,6.04,0.38,4.36,11.52,0.74,0.94,36.6,73.43,3.19,93.39,8.73,10.96,9.81,4.59,7387853.0,78.04,22.19,363575.0,49.0,28.0,77.0,37.66,3.79,28.9982,45.22292993630573,28.205128205128204,44.230769230769226,39.2,46.12794612794613,31.986531986531986,37.17948717948718,38.4,38.8
Malloa,CL MAL,Libertador General Bernardo O'Higgins,13877.0,70.1,very high (dependent),12.91,876670.0,63veg5xzz73bb3psg1jj,CL,13.47,99.0,31.4,4.88,0.79,5.92,14.91,1.98,0.94,28.88,69.61,5.49,93.98,8.98,9.55,9.85,7.76,6763221.0,97.24,20.52,487369.0,61.0,12.0,73.0,52.05,5.26,37.9965,45.54140127388535,46.794871794871796,38.782051282051285,43.7,88.21548821548821,51.515151515151516,30.76923076923077,56.8,50.2
San Rafael,CL SRA,Maule,11225.0,69.73,high,26.41,682816.0,63tphvqs7w7d62h5q5ff,CL,17.87,99.69,21.9,11.67,1.08,5.0,8.14,2.93,1.54,27.67,74.97,4.76,93.12,8.86,13.06,8.44,9.78,4751752.0,110.3,23.89,423319.0,22.0,18.0,40.0,40.0,3.56,16.0,45.85987261146497,54.48717948717948,50.32051282051282,50.2,56.22895622895623,6.7340067340067336,12.5,25.2,37.7
Llaillay,CL LLA,Valparaíso,25442.0,69.52,high,35.86,747103.0,66jsfsfuyy235ctj4uuh,CL,12.65,99.53,21.13,7.2,0.93,6.36,9.64,6.56,1.45,48.39,69.26,5.25,94.46,9.35,31.59,17.21,8.82,7549993.0,69.67,25.03,296753.0,66.0,40.0,106.0,29.25,4.17,31.005,46.17834394904459,22.115384615384613,53.84615384615385,40.7,11.11111111111111,38.72053872053872,39.42307692307692,29.8,35.2
Cunco,CL CUN,La Araucanía,19070.0,69.41,high,35.59,748622.0,63hf3b2vjqvz2us4m8t1,CL,15.03,98.78,18.84,13.85,1.22,3.98,6.73,1.02,0.9,23.3,70.76,31.82,94.54,9.09,21.14,10.53,18.95,10160949.0,109.84,19.53,532824.0,51.0,37.0,88.0,36.36,4.61,31.996799999999997,46.496815286624205,53.84615384615385,35.57692307692308,45.3,41.41414141414141,39.39393939393939,50.32051282051282,43.7,44.5
Freirina,CL FRN,Atacama,7558.0,69.23,high,31.75,626973.0,66vkh69d862ckjm2dn31,CL,12.5,97.39,12.16,10.28,2.45,5.7,6.87,15.18,1.41,10.35,76.02,27.64,94.24,9.01,21.93,7.91,15.34,4421441.0,139.22,24.59,585001.0,21.0,41.0,62.0,37.1,8.2,23.002,46.81528662420382,70.1923076923077,52.243589743589745,56.4,44.44444444444444,18.855218855218855,10.256410256410255,24.5,40.4
Catemu,CL CAT,Valparaíso,13755.0,69.06,high,28.73,800654.0,66jtctg9txpnsm7ytwye,CL,12.88,99.4,24.42,7.23,1.21,5.55,6.08,13.69,1.11,22.53,73.73,4.65,94.42,9.08,13.65,13.02,7.91,5541813.0,90.26,25.41,402894.0,45.0,32.0,77.0,42.86,5.6,33.0022,47.13375796178344,41.98717948717949,54.807692307692314,48.0,66.16161616161617,42.08754208754209,21.794871794871796,43.3,45.6
Yerbas Buenas,CL YBU,Maule,20010.0,68.87,high,25.89,750000.0,63thgyzhh89ervuf2d4d,CL,14.31,99.1,38.28,7.95,1.19,5.18,6.79,1.87,0.99,25.48,75.62,3.74,92.1,8.35,18.3,8.06,8.32,6901627.0,82.43,23.48,344909.0,47.0,25.0,72.0,26.39,3.6,19.0008,47.452229299363054,33.33333333333333,48.07692307692308,43.0,5.387205387205387,11.447811447811448,32.05128205128205,16.3,29.6
Hualañé,CL HLE,Maule,10771.0,68.53,high,28.68,810139.0,63v10jp1zm1supmpr03r,CL,14.86,99.55,26.91,9.26,0.96,4.33,6.33,0.71,0.98,36.57,69.04,6.38,91.38,8.75,11.53,14.58,7.6,5582716.0,119.1,21.82,518310.0,41.0,35.0,76.0,38.16,7.06,29.001599999999996,47.77070063694268,59.93589743589743,42.628205128205124,50.1,47.13804713804714,33.33333333333333,22.756410256410255,34.4,42.2
Huara,CL HUA,Tarapacá,2850.0,68.51,high,26.47,665000.0,6kw2qzes499dupz1bn24,CL,13.39,94.75,34.94,6.38,0.33,3.85,2.7,9.25,0.82,9.54,55.94,66.6,93.47,8.1,1.84,17.97,4.31,4840782.0,376.65,23.96,1698520.0,19.0,8.0,27.0,55.56,9.47,15.001199999999999,48.089171974522294,92.3076923076923,50.641025641025635,63.7,91.07744107744108,5.387205387205387,12.82051282051282,36.4,50.0
Villa Alemana,CL VIA,Valparaíso,139075.0,68.43,high,18.63,1132000.0,66j7bu4zy385x1webxtk,CL,10.15,99.83,0.85,8.82,1.31,8.15,7.14,3.17,0.82,78.64,67.95,5.27,96.97,11.04,50.8,21.85,10.2,32724904.0,58.67,26.08,235304.0,196.0,130.0,326.0,32.21,2.34,105.0046,48.40764331210191,14.102564102564102,56.08974358974359,39.5,23.56902356902357,85.18518518518519,84.2948717948718,64.3,51.9
Arauco,CL ARA,Biobío,37049.0,68.12,high,25.95,837778.0,637gcezfns6kdupyp97n,CL,14.1,99.36,18.97,9.13,0.92,5.22,13.27,1.52,1.02,50.14,74.93,16.79,94.1,9.37,12.41,12.2,13.07,16372745.0,102.87,24.43,441921.0,96.0,72.0,168.0,33.33,4.53,55.9944,48.72611464968153,49.67948717948718,51.60256410256411,50.0,28.619528619528616,67.67676767676768,69.23076923076923,55.2,52.6
Ollagüe,CL OLL,Antofagasta,256.0,68.04,high,,,6kpmvmw77vb6jxg5k1yv,CL,16.4,97.75,2.16,11.51,0.72,5.04,2.88,4.32,0.72,12.75,19.61,78.52,95.2,9.52,,24.51,,3745911.0,3595.85,26.3,14632465.0,22.0,13.0,35.0,48.57,136.72,16.9995,49.044585987261144,99.35897435897436,56.41025641025641,68.3,82.49158249158249,7.4074074074074066,4.487179487179487,31.5,49.9
Andacollo,CL AND,Coquimbo,11562.0,68.02,high,32.19,894628.0,66t7y56jg5ywkygrm0rm,CL,12.61,99.07,2.31,8.14,0.65,3.66,4.65,38.85,0.86,22.52,76.01,11.08,95.31,9.27,39.17,8.71,5.13,5508602.0,124.55,26.75,476440.0,38.0,28.0,66.0,31.82,5.71,21.001199999999997,49.36305732484077,64.1025641025641,56.730769230769226,56.7,22.55892255892256,15.824915824915825,21.153846153846153,19.8,38.2
Melipilla,CL MEL,Metropolitana de Santiago,135801.0,68.01,high,24.94,948000.0,66j25cj6swjrurt6f7cd,CL,10.89,99.78,19.61,7.18,1.15,6.33,9.3,1.14,0.7,57.47,66.39,6.04,94.93,9.55,30.49,20.95,8.98,57839080.0,56.25,14.32,425911.0,207.0,73.0,280.0,31.79,2.06,89.012,49.681528662420384,12.179487179487179,23.397435897435898,28.4,22.22222222222222,82.15488215488216,91.02564102564102,65.1,46.8
Linares,CL LIN,Maule,95795.0,67.99,high,23.71,812210.0,63t72vcrzbupkg0gp65u,CL,13.84,99.79,10.98,8.85,1.16,6.09,6.02,1.91,0.87,56.55,69.0,3.85,95.13,9.82,19.57,18.98,9.4,26747563.0,69.48,26.83,279217.0,183.0,108.0,291.0,32.65,3.04,95.0115,50.0,21.474358974358974,57.05128205128205,42.8,27.104377104377104,83.5016835016835,81.08974358974359,63.9,53.4
Ranquil,CL RAN,Ñuble,6478.0,67.96,high,37.8,699377.0,63krs1z1f6w39y6xvxjs,CL,19.1,99.23,16.93,9.78,1.11,6.09,14.48,1.57,1.15,20.54,74.23,5.09,92.6,8.85,9.9,7.65,12.09,4939263.0,184.59,23.51,762467.0,30.0,15.0,45.0,51.11,6.95,22.9995,50.318471337579616,81.08974358974359,48.717948717948715,60.0,85.52188552188552,17.845117845117844,14.423076923076922,39.3,49.6
San Pedro de Atacama,CL SPA,Antofagasta,9782.0,67.83,high,26.29,1106500.0,67zdyemv6n0jxsuv2fee,CL,7.9,98.32,3.18,9.35,1.09,5.5,5.05,7.52,0.95,6.81,34.69,62.56,95.76,9.77,6.55,37.12,4.27,26984699.0,280.43,11.36,2758608.0,79.0,32.0,111.0,50.45,11.35,55.999500000000005,50.63694267515923,88.78205128205127,15.544871794871796,51.7,84.17508417508418,68.01346801346801,81.41025641025641,77.9,64.8
Doñihue,CL DOH,Libertador General Bernardo O'Higgins,21888.0,67.82,high,29.35,900000.0,63vt6ndvyxxzjb9mzf60,CL,12.66,99.42,10.53,7.23,0.86,6.69,20.66,5.25,0.65,49.17,63.44,4.68,95.92,9.67,7.81,19.79,8.79,7442136.0,79.92,25.16,340010.0,27.0,43.0,70.0,58.57,3.2,40.999,50.955414012738856,31.570512820512818,54.166666666666664,45.6,92.5925925925926,55.218855218855225,37.82051282051282,61.9,53.8
Alto del Carmen,CL ADC,Atacama,4781.0,67.78,high,33.75,624750.0,66y55d3sddc696kgutkc,CL,9.96,97.66,26.34,9.71,0.38,2.95,5.9,9.55,2.58,4.46,67.21,60.67,92.27,8.64,7.07,8.97,6.42,5053151.0,216.3,24.72,1056923.0,33.0,17.0,50.0,52.0,10.46,26.0,51.27388535031847,84.93589743589743,52.56410256410257,62.9,87.87878787878788,26.430976430976433,16.025641025641026,43.4,53.2
San Esteban,CL SES,Valparaíso,20103.0,67.75,high,21.22,889538.0,66jyp1tfw0k6mc7y37z7,CL,11.06,99.63,14.15,7.16,0.93,6.48,5.55,13.19,0.93,62.46,69.01,5.35,95.32,9.91,31.14,17.02,16.03,7503647.0,90.28,25.86,373260.0,36.0,50.0,86.0,40.7,4.28,35.002,51.59235668789809,42.30769230769231,55.44871794871795,49.8,59.25925925925925,46.464646464646464,38.46153846153847,48.1,49.0
Los Lagos,CL LLG,Los Ríos,21421.0,67.53,high,23.9,900828.0,62umhur7qh5p808vkbem,CL,12.92,98.93,19.16,11.28,0.82,6.08,12.07,0.99,0.76,31.18,66.92,14.41,93.35,8.95,15.46,13.82,5.5,7539992.0,81.37,22.15,351991.0,70.0,24.0,94.0,38.3,4.39,36.001999999999995,51.910828025477706,32.69230769230769,43.91025641025641,42.8,47.81144781144781,48.821548821548824,39.1025641025641,45.2,44.0
Codegua,CL COD,Libertador General Bernardo O'Higgins,13924.0,67.52,high,16.23,1002836.0,63vy68j56d5gp6henrqz,CL,12.23,99.67,27.88,6.56,0.9,5.14,8.56,4.8,0.78,48.14,68.29,4.98,94.66,9.34,15.72,12.51,5.21,5428123.0,87.01,23.25,389839.0,43.0,55.0,98.0,38.78,7.04,38.004400000000004,52.22929936305732,38.782051282051285,47.11538461538461,46.0,50.67340067340067,52.18855218855219,20.192307692307693,41.0,43.5
San Pablo,CL SPB,Los Lagos,10872.0,67.37,high,21.33,809764.0,62gfp0mqhcnyb6tjcbpf,CL,13.13,99.09,26.94,9.09,1.19,5.62,6.78,0.32,0.53,29.53,69.82,40.26,93.8,8.95,18.09,8.97,6.0,5322709.0,113.58,22.5,489580.0,41.0,40.0,81.0,44.44,7.45,35.996399999999994,52.547770700636946,56.730769230769226,45.19230769230769,51.5,71.88552188552188,47.474747474747474,18.91025641025641,46.1,48.8
Paillaco,CL PAO,Los Ríos,19719.0,67.22,high,28.0,803695.0,62uhn2tnhkg18mgfe4pe,CL,11.51,99.35,22.17,9.07,2.38,6.33,7.6,0.87,0.99,34.82,66.34,17.68,93.85,9.03,16.53,14.01,10.03,8358367.0,85.41,21.37,423874.0,27.0,47.0,74.0,56.76,3.75,42.0024,52.86624203821656,37.17948717948718,40.38461538461539,43.5,91.91919191919192,56.9023569023569,41.98717948717949,63.6,53.6
Panguipulli,CL PAN,Los Ríos,35049.0,66.94,high,29.06,775287.0,62uy0fjurwfmsrx5xh1e,CL,13.49,98.33,11.89,15.27,1.32,4.94,7.82,0.77,1.04,25.44,67.81,41.88,93.01,8.83,11.47,14.12,9.07,30874096.0,133.18,15.61,880884.0,107.0,69.0,176.0,45.45,5.02,79.992,53.18471337579618,67.94871794871796,26.923076923076923,49.4,75.75757575757575,79.46127946127946,83.65384615384616,79.6,64.5
Chaitén,CL WCH,Los Lagos,4007.0,66.85,high,,,62k6u6zbgc821w648nzb,CL,11.26,98.5,19.36,8.5,1.16,6.01,5.2,0.23,1.21,25.34,61.28,28.64,94.13,9.11,,18.74,,8231125.0,253.08,15.56,2054186.0,30.0,18.0,48.0,33.33,11.98,15.9984,53.503184713375795,87.17948717948718,26.282051282051285,55.7,28.619528619528616,6.0606060606060606,41.66666666666667,25.4,40.6
San Vicente,CL SVT,Libertador General Bernardo O'Higgins,49488.0,66.47,high,33.77,750000.0,63v7ve9dn2qyw8rcks9d,CL,13.88,99.55,24.31,5.62,0.85,4.27,11.67,1.13,0.92,48.27,64.58,4.28,94.77,9.55,13.96,18.17,9.33,14703252.0,79.26,27.98,297107.0,80.0,51.0,131.0,30.53,2.65,39.9943,53.82165605095541,30.448717948717945,59.61538461538461,48.0,17.50841750841751,52.52525252525253,65.38461538461539,45.1,46.6
