unit_id,unit_anchor,region,unit_size,sector,coordination_tier,n_comunas_sharing,n_action_archetypes,instrument_class,viable_anchor,actor_route,bundle_feasible
67,Lebu,Región del Bío-Bío,6,Waste,highly_coordinated,4,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
67,Lebu,Región del Bío-Bío,6,Waste,semi_coordinated,4,7,programmatic / blended,True,municipal applicant,True
0,Providencia,Región Metropolitana de Santiago,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
0,Providencia,Región Metropolitana de Santiago,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
0,Providencia,Región Metropolitana de Santiago,3,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
0,Providencia,Región Metropolitana de Santiago,3,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
0,Providencia,Región Metropolitana de Santiago,3,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
0,Providencia,Región Metropolitana de Santiago,3,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
3,Tomé,Región del Bío-Bío,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
3,Tomé,Región del Bío-Bío,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
3,Tomé,Región del Bío-Bío,3,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
3,Tomé,Región del Bío-Bío,3,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
4,San Antonio,Región de Valparaíso,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
4,San Antonio,Región de Valparaíso,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
5,Lampa,Región Metropolitana de Santiago,5,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
5,Lampa,Región Metropolitana de Santiago,5,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
6,Macul,Región Metropolitana de Santiago,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
6,Macul,Región Metropolitana de Santiago,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
6,Macul,Región Metropolitana de Santiago,3,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
6,Macul,Región Metropolitana de Santiago,3,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
6,Macul,Región Metropolitana de Santiago,3,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
6,Macul,Región Metropolitana de Santiago,3,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
8,La Serena,Región de Coquimbo,6,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
8,La Serena,Región de Coquimbo,6,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
18,Iquique,Región de Tarapacá,7,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
18,Iquique,Región de Tarapacá,7,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
19,Santa Cruz,Región del Libertador Bernardo O'Higgins,9,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
19,Santa Cruz,Región del Libertador Bernardo O'Higgins,9,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
20,Panguipulli,Región de Los Ríos,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
20,Panguipulli,Región de Los Ríos,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
23,Alhué,Región Metropolitana de Santiago,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
23,Alhué,Región Metropolitana de Santiago,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
25,San Carlos,Región de Ñuble,7,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
25,San Carlos,Región de Ñuble,7,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
27,Osorno,Región de Los Lagos,6,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
27,Osorno,Región de Los Lagos,6,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
29,Chillán Viejo,Región de Ñuble,4,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
29,Chillán Viejo,Región de Ñuble,4,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
36,Molina,Región del Maule,7,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
36,Molina,Región del Maule,7,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
36,Molina,Región del Maule,7,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
36,Molina,Región del Maule,7,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
40,Los Vilos,Región de Coquimbo,5,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
40,Los Vilos,Región de Coquimbo,5,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
42,Ovalle,Región de Coquimbo,4,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
42,Ovalle,Región de Coquimbo,4,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
44,Nacimiento,Región del Bío-Bío,5,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
44,Nacimiento,Región del Bío-Bío,5,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
54,Natales,Región de Magallanes y Antártica Chilena,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
54,Natales,Región de Magallanes y Antártica Chilena,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
58,Los Andes,Región de Valparaíso,6,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
58,Los Andes,Región de Valparaíso,6,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
58,Los Andes,Región de Valparaíso,6,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
58,Los Andes,Región de Valparaíso,6,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
59,Portezuelo,Región de Ñuble,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
59,Portezuelo,Región de Ñuble,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
60,Yungay,Región de Ñuble,3,Stationary Energy,highly_coordinated,3,20,pooled grant/loan · ESCO · debt,True,municipal applicant,True
60,Yungay,Región de Ñuble,3,Stationary Energy,semi_coordinated,3,9,programmatic / blended,True,municipal applicant,True
61,Las Cabras,Región del Libertador Bernardo O'Higgins,5,Transportation,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
61,Las Cabras,Región del Libertador Bernardo O'Higgins,5,Transportation,semi_coordinated,3,5,programmatic / blended,True,municipal applicant,True
61,Las Cabras,Región del Libertador Bernardo O'Higgins,5,Waste,highly_coordinated,3,1,pooled grant/loan · ESCO · debt,True,municipal applicant,True
61,Las Cabras,Región del Libertador Bernardo O'Higgins,5,Waste,semi_coordinated,3,7,programmatic / blended,True,municipal applicant,True
